state,2010,2020
 California,37253956,39538223
 Texas,25145561,29145505
 Florida,18801310,21538187
 New York,19378102,20201249
 Pennsylvania,12702379,13002700
 Illinois,12830632,12812508
 Ohio,11536504,11799448
 Georgia,9687653,10711908
 North Carolina,9535483,10439388
 Michigan,9883640,10077331
 New Jersey,8791894,9288994
 Virginia,8001024,8631393
 Washington,6724540,7705281
 Arizona,6392017,7151502
 Massachusetts,6547629,7029917
 Tennessee,6346105,6910840
 Indiana,6483802,6785528
 Maryland,5773552,6177224
 Missouri,5988927,6154913
 Wisconsin,5686986,5893718
 Colorado,5029196,5773714
 Minnesota,5303925,5706494
 South Carolina,4625364,5118425
 Alabama,4779736,5024279
 Louisiana,4533372,4657757
 Kentucky,4339367,4505836
 Oregon,3831074,4237256
 Oklahoma,3751351,3959353
 Connecticut,3574097,3605944
 Utah,2763885,3271616
 Iowa,3046355,3190369
 Nevada,2700551,3104614
 Arkansas,2915918,3011524
 Mississippi,2967297,2961279
 Kansas,2853118,2937880
 New Mexico,2059179,2117522
 Nebraska,1826341,1961504
 Idaho,1567582,1839106
 West Virginia,1852994,1793716
 Hawaii,1360301,1455271
 New Hampshire,1316470,1377529
 Maine,1328361,1362359
 Rhode Island,1052567,1097379
 Montana,989415,1084225
 Delaware,897934,989948
 South Dakota,814180,886667
 North Dakota,672591,779094
 Alaska,710231,733391
 District of Columbia,601723,689545
 Vermont,625741,643077
 Wyoming,563626,576851
